{DhanV, 1}
śrīgaṇeśagīrbhyāṃ namaḥ | [DhanV, 1 1.1]
lambodaraṃ mahākāyaṃ lambauṣṭhaṃ gajakarṇakam | [DhanV, 1 1.2]
vighnaghnaṃ pārvvatīputraṃ namāmi gaṇanāyakam | [DhanV, 1 1.3]
vinā śastradharaṃ nānyo dhanurvvedasya pāragaḥ | [DhanV, 1 2.1]
ataḥ svapne niśi prāpte śivatattvavicāraṇam | [DhanV, 1 2.2]
ataḥ mandehadolāyāṃ ropaṇīyaṃ na mānasam | [DhanV, 1 3.1]
granthe 'smin cāpacaturair vīracintāmaṇau kvacit | [DhanV, 1 3.2]
yasyābhyāse prasādena niṣpadyante dhanurdharāḥ | [DhanV, 1 4.1]
jetāraḥ parasainyānāṃ tasyābhyāso vidhīyatām | [DhanV, 1 4.2]
eko'pi yatra nagare prasiddhaḥ syāddhanurddharaḥ | [DhanV, 1 5.1]
tato yāntyarayo dūraṃ mṛgāḥ siṃhagṛhādiva | [DhanV, 1 5.2]
ācāryyeṇa dhanurdeyaṃ brāhmaṇena parīkṣite | [DhanV, 1 6.1]
śaṭhe dhūrtte kṛtaghne ca mandabuddhau na dīyate | [DhanV, 1 6.2]
brāhmaṇāya dhanurdeyaṃ khaḍgaṃ vai kṣatriyāya ca | [DhanV, 1 7.1]
vaiśyāya dāpayetkuntaṃ gadāṃ śūdrāya dāpayet | [DhanV, 1 7.2]
dhanuścakraṃ tu kuntaṃ ca khaḍgaṃ ca churikāṃ gadām | [DhanV, 1 8.1]
saptamaṃ bāhūyuddhaṃ syādevaṃ yuddhāni saptadhā | [DhanV, 1 8.2]
ācāryyaḥ saptayuddhaiḥ syāccaturbhirbhārgavastathā | [DhanV, 1 9.1]
dvābhyāṃ caiva bhavedyoddhā ekena gaṇako bhavet | [DhanV, 1 9.2]
hastaḥ punarvasuḥ puṣyo rohiṇī cottarātrayam | [DhanV, 1 10.1]
anurādhāśvinī caiva revatī daśamī tathā | [DhanV, 1 10.2]
janmasthe ca tṛtīye ca ṣaṣṭhe vai saptame tathā | [DhanV, 1 11.1]
daśamaikādaśe candre sarvakarmāṇi kārayet | [DhanV, 1 11.2]
tṛtīyā pañcamī caiva saptamī navamī tathā | [DhanV, 1 12.1]
trayodaśī dvādaśī ca tithayaśca śubhā matāḥ | [DhanV, 1 12.2]
sūryavāraḥ śukravāro guruvārastathaiva ca | [DhanV, 1 13.1]
etad vāratrayaṃ dhanyaṃ prārambhe śastrakarmaṇi | [DhanV, 1 13.2]
ebhir dinaiśca śiṣyāya guruḥśastrāṇi dāpayet | [DhanV, 1 14.1]
saṃtarpya dānahomābhyāṃ surān śāstravidhānataḥ | [DhanV, 1 14.2]
brāhmaṇān bhojayettatra kumārīścāpyanekaśaḥ | [DhanV, 1 15.1]
tāpasānarcayedbhaktyā ye cānye śivayoginaḥ | [DhanV, 1 15.2]
annapānādibhiścaiva vastrālaṅkārabhūṣaṇaiḥ | [DhanV, 1 16.1]
gandhamālyair vicitraiśca guruṃ tatra prapūjayet | [DhanV, 1 16.2]
kṛtopavāsaḥ śiṣyastu kṛtāñjaliparigrahaḥ | [DhanV, 1 17.1]
baddhvāñjalipuṭastatra yācayedguruto dhanuḥ | [DhanV, 1 17.2]
aṅganyāsas tataḥ kāryaḥ śivoktaḥ siddhim icchatā | [DhanV, 1 18.1]
ācāryyeṇa ca śiṣyasya pāpaghno vighnanāśanaḥ | [DhanV, 1 18.2]
śikhāsthāne nyasedīśaṃ bāhuyugme ca keśavam | [DhanV, 1 19.1]
brahmāṇaṃ nābhimadhye tu jaṅghayośca gaṇādhipam | [DhanV, 1 19.2]
aṅganyāse ca mantraḥ | [DhanV, 1 19.3]
oṃ hauṃ śikhāmadhye śaṅkarāya namaḥ | [DhanV, 1 19.4]
oṃ hauṃ bāhvoḥ keśavāya namaḥ | [DhanV, 1 19.5]
oṃ hauṃ nābhimadhye brahmaṇe namaḥ | [DhanV, 1 19.6]
oṃ hauṃ jaṅghayorgaṇapataye namaḥ | [DhanV, 1 19.7]
īdṛśaṃ kārayennyāsaṃ yena śreyo bhaviṣyati | [DhanV, 1 20.1]
anye'pi duṣṭasattvāśca na hiṃsanti kadācana | [DhanV, 1 20.2]
śiṣyāya mānuṣaṃ cāpaṃ dhanurvvedābhimantritam | [DhanV, 1 21.1]
kāṇḍātkāṇḍeti mantreṇa dadyādvedavidhānataḥ | [DhanV, 1 21.2]
prathamaṃ puṣpavedhaṃ ca phalahīnena patriṇā | [DhanV, 1 22.1]
tataḥ phalayutenaiva matsyavedhaṃ ca kārayet | [DhanV, 1 22.2]
māṃsavedhaṃ tataḥ kuryādevaṃ vedho bhavettridhā | [DhanV, 1 23.1]
pūrvavedhaiḥ kṛtāḥ puṃsā śarāḥ syuḥ sarvasādhakāḥ | [DhanV, 1 23.2]
vedhane caivamākṛṣya śarapāto yadā bhavet | [DhanV, 1 24.1]
pūrvadigbhāgam āśritya sadā syādvijayī sukhī | [DhanV, 1 24.2]
dakṣiṇe kalaho ghoro videśagamanaṃ punaḥ | [DhanV, 1 25.1]
paścime dhanadhānyaṃ ca sarvaṃ caivottare bhavet | [DhanV, 1 25.2]
aiśānyāṃ pātanaṃ duṣṭaṃ vidiśo'nyāśca śobhanāḥ | [DhanV, 1 26.1]
sarvapuṣṭikarāścaiva siddhidāḥ śastrakarmaṇi | [DhanV, 1 26.2]
evaṃ vedhatrayaṃ kṛtvā śaṅkhadundubhinisvanaiḥ | [DhanV, 1 27.1]
tataḥ praṇamya gurave dhanurbāṇān nivedayet | [DhanV, 1 27.2]
prathamaṃ pauruṣaṃ cāpaṃ yuddhacāpaṃ dvitīyakam | [DhanV, 1 28.1]
nijabāhubalonmānaṃ kiṃcidūnaṃ śubhaṃ bhavet | [DhanV, 1 28.2]
varaṃ prāṇādhiko dhanvī natu prāṇādhikaṃ dhanuḥ | [DhanV, 1 29.1]
dhanuṣā pīḍyamānastu dhanvī lakṣyaṃ na paśyati | [DhanV, 1 29.2]
ato nijabalonmānaṃ dhanuḥ syācchubhakārakam | [DhanV, 1 30.1]
devānāmuttamaṃ cāpaṃ tato nyūnaṃ ca mānavam | [DhanV, 1 30.2]
sārddhapañcamahastantu śreṣṭhaṃ cāpaṃ prakīrtitam | [DhanV, 1 31.1]
tad vijñeyaṃ dhanur divyaṃ śaṅkareṇa dhṛtaṃ purā | [DhanV, 1 31.2]
tasmāt paraśurāmeṇa tato droṇena dhīmatā | [DhanV, 1 32.1]
droṇādgṛhītaṃ pārthena tataḥ sātyakinā dhṛtam | [DhanV, 1 32.2]
kṛtayuge mahādevaḥ tretāyāṃ caiva bhārgavaḥ | [DhanV, 1 33.1]
dvāpare droṇavipraśca daivaṃ cāpamadhārayat | [DhanV, 1 33.2]
caturviṃśāṅgulo hastaś caturhastaṃ dhanur bhavet | [DhanV, 1 34.1]
tad bhavenmānuṣaṃ cāpaṃ sarvalakṣaṇasaṃyutam | [DhanV, 1 34.2]
triparvaṃ pañcaparvaṃ ca saptaparvaṃ ca kīrtitam | [DhanV, 1 35.1]
navaparvaṃ ca kodaṇḍaṃ caturddhā śubhadāyakam | [DhanV, 1 35.2]
catuḥparvaṃ ca ṣaṭparvam aṣṭaparvaṃ ca varjayet | [DhanV, 1 36.1]
keṣāṃcicca bhaveccāpaṃ vitastinavasaṃmitam | [DhanV, 1 36.2]
atijīrṇam apakvaṃ ca jñātidhṛṣṭaṃ tathaiva ca | [DhanV, 1 37.1]
dagdhaṃ chinnaṃ na kartavyaṃ bāhyābhyantarahastakam | [DhanV, 1 37.2]
guṇahīnaṃ guṇākrāntaṃ kāṇḍadoṣasamanvitam | [DhanV, 1 38.1]
galagranthi talagranthi na kartavyaṃ sadā budhaiḥ | [DhanV, 1 38.2]
apakvaṃ bhaṅgamāyāti atijīrṇaṃ tu karkaśam | [DhanV, 1 39.1]
jñātidhṛṣṭaṃ tu sodvegaṃ kalaho bāndhavaiḥ saha | [DhanV, 1 39.2]
dagdhena dahyate veśma chidraṃ buddhivināśanam | [DhanV, 1 40.1]
bāhye lakṣyaṃ na labhyeta tathaivābhyantare'pi ca | [DhanV, 1 40.2]
hīne tu saṃdhite bāṇe saṃgrāme bhaṅgakārakam | [DhanV, 1 41.1]
ākrānte tu punarlakṣye lakṣyaṃ na prāpyate dṛḍham | [DhanV, 1 41.2]
galagranthi talagranthi dhanahānikaraṃ dhanuḥ | [DhanV, 1 42.1]
etair doṣair vinirmuktaṃ sarvalakṣaṇakārakam | [DhanV, 1 42.2]
śārṅgaṃ tu vai dhanurdivyaṃ tadviṣṇoḥ paramāyudham | [DhanV, 1 43.1]
vitastisaptamaṃ mānaṃ nirmitaṃ viśvakarmaṇā | [DhanV, 1 43.2]
na svarge na ca pātāle na bhūmau kasyacitkare | [DhanV, 1 44.1]
taddhanurna vaśaṃ ghāti muktvaikaṃ puruṣottamam | [DhanV, 1 44.2]
pauruṣeyaṃ tu yat kāryaṃ bahuyatnena yojitam | [DhanV, 1 45.1]
vitastibhiḥ saptabhiśca mitaṃ sarvārthasādhakam | [DhanV, 1 45.2]
prāyo jñeyaṃ dhanuḥ śārṅgaṃ gajārohasya sādhanam | [DhanV, 1 46.1]
rathināṃ ca padātīnāṃ vāṃśaṃ cāpaṃ prakīrtitam | [DhanV, 1 46.2]
guṇānāṃ lakṣaṇaṃ vakṣye yādṛśaṃ kārayedguṇam | [DhanV, 1 47.1]
dhanuḥpramāṇaṃ niḥsandhiḥ kāryastriguṇatantubhiḥ | [DhanV, 1 47.2]
vartitaḥ syād guṇaḥ sūkṣmaḥ sarvakāryasaho yudhi | [DhanV, 1 48.1]
paṭṭasūtraiḥ guṇaḥ kāryaḥ kaniṣṭhāmānasaṃmitaḥ | [DhanV, 1 48.2]
abhāve paṭṭasūtrasya hāriṇī snāyuriṣyate | [DhanV, 1 49.1]
guṇārtham atha saṃgrāhyāḥ snāyavo mahiṣīgavām | [DhanV, 1 49.2]
tatkāle hatagokarṇacarma vā chāgalasya vā | [DhanV, 1 50.1]
vilomatanturūpeṇa kuryādvā guṇamuttamam | [DhanV, 1 50.2]
pakvavaṃśatvacā kāryo guṇastu sthaviro dṛḍhaḥ | [DhanV, 1 51.1]
paṭṭasūtreṇa saṃnaddhaḥ sarvakāryasaho yudhi | [DhanV, 1 51.2]
prāpte bhādrapade māse tvagarkasya praśasyate | [DhanV, 1 52.1]
tasyāstatra guṇaḥ kāryaḥ pavitraḥ sthāvaro dṛḍhaḥ | [DhanV, 1 52.2]
vṛttārkasūtratantūnāṃ hastā aṣṭādaśāḥ smṛtāḥ | [DhanV, 1 53.1]
tadvṛttaṃ triguṇaṃ kāryaṃ pramāṇo'yaṃ guṇasya ca | [DhanV, 1 53.2]
phalaṃ tu śuddhalohasya sadhāraṃ tīkṣṇamastakam | [DhanV, 1 54.1]
yojayed vajralepena sārapakṣānusārataḥ | [DhanV, 1 54.2]
ārāmukhaṃ kṣurapraṃ ca gopucchaṃ cārdhacandrakam | [DhanV, 1 55.1]
sūcīmukhaṃ ca bhallaṃ ca vatsadantaṃ suvallabham | [DhanV, 1 55.2]
karṇikaṃ kākatuṇḍaṃ ca tathā cānye'pyanekaśaḥ | [DhanV, 1 56.1]
phalāni deśadeśeṣu bhavanti bahurūpataḥ | [DhanV, 1 56.2]
ārāmukhenaiva carma kṣurapreṇa ca kārmukam | [DhanV, 1 57.1]
sūcīmukhena kavacam ardhacandreṇa mastakam | [DhanV, 1 57.2]
bhallena hṛdayaṃ vedhyaṃ dvibhallena tathaiva ca | [DhanV, 1 58.1]
lohaṃ ca kākatuṇḍena lakṣyaṃ gopucchakena ca | [DhanV, 1 58.2]
anyadgopucchakaṃ jñeyaṃ śuddhakāṃsyair vinirmitam | [DhanV, 1 59.1]
mukhena cāpi kaṇṭhena vedham aṅgulisaṃmitam | [DhanV, 1 59.2]
phalasya pāyanaṃ vakṣye divyauṣadhivilepanam | [DhanV, 1 60.1]
yena durvedhyavarmāṇi bhedayettarupattravat | [DhanV, 1 60.2]
pippalī saindhavaṃ kuṣṭhaṃ gomūtreṇa ca peṣayet | [DhanV, 1 61.1]
anena lepayecchastraṃ liptaṃ cāgnau pratāpayet | [DhanV, 1 61.2]
aviṣpātaṃ balāviddhaṃ pītamagnau tathauṣadham | [DhanV, 1 62.1]
tato nirvāpitaṃ lohaṃ tatra vedhe viśiṣyate | [DhanV, 1 62.2]
pañcabhir lavaṇaiḥ piṣṭaṃ madhusikthaiḥ sasarṣapaiḥ | [DhanV, 1 63.1]
ebhiḥ pralepayecchastraṃ liptaṃ cāgnau pratāpayet | [DhanV, 1 63.2]
śikhigrīvāptavarṇābhaṃ taptaśīrṣaṃ tathauṣadham | [DhanV, 1 64.1]
