{RCūM, 3}
rasaśālāṃ prakurvīta sarvabādhāvivarjite | [RCūM, 3 1.1]
sarvauṣadhamaye deśe ramye kūpasamanvite | [RCūM, 3 1.2]
yakṣarājasahasrākṣadigvibhāge suśobhane | [RCūM, 3 2.1]
nānopakaraṇopetāṃ prākāreṇa suśobhitām | [RCūM, 3 2.2]
śālāyāḥ pūrvadigbhāge sthāpayedrasabhairavam | [RCūM, 3 3.1]
vahnikarmāṇi cāgneye yāmye pāṣāṇakarma ca | [RCūM, 3 3.2]
nairṛtye śastrakarmāṇi vāruṇe kṣālanādikam | [RCūM, 3 4.1]
śoṣaṇaṃ vāyukoṇe ca vedhakarmottare tathā | [RCūM, 3 4.2]
sthāpanaṃ siddhavastūnāṃ prakuryād īśakoṇake | [RCūM, 3 5.1]
padārthasaṃgrahaḥ kāryo rasasādhanahetukaḥ | [RCūM, 3 5.2]
sattvapātanakoṣṭhīṃ ca gārakoṣṭhīṃ suśobhanām | [RCūM, 3 6.1]
bhūmikoṣṭhīṃ calatkoṣṭhīṃ jaladroṇīsvanekaśaḥ | [RCūM, 3 6.2]
bhastrikāyugalaṃ tadvannalike vaṃśalauhayoḥ | [RCūM, 3 7.1]
svarṇāyoghoṣaśulbāśmakuṇḍyaścarmakṛtāṃ tathā | [RCūM, 3 7.2]
karaṇāni vicitrāṇi sarvāṇyapi samāharet | [RCūM, 3 8.1]
manthānaḥ peṣaṇī khalvā droṇīrūpāśca vartulāḥ | [RCūM, 3 8.2]
āyasāstaptakhalvāśca mardakāśca tathāvidhāḥ | [RCūM, 3 9.1]
sūkṣmachidrasahasrāḍhyā dravyacālanahetave | [RCūM, 3 9.2]
cālanī ca kaṭatrāṇī śilā laulī ca kaṇḍanī | [RCūM, 3 10.1]
mūṣāmṛttuṣakārpāsavanopalapiṣṭakam | [RCūM, 3 10.2]
trividhaṃ bheṣajaṃ dhātujīvamūlamayaṃ tathā | [RCūM, 3 11.1]
śikhitrā govaraṃ caiva śarkarā ca sitopalā | [RCūM, 3 11.2]
kācāyomṛdvarāṭānāṃ kūpikāścaṣakāṇi ca | [RCūM, 3 12.1]
śūrpādiveṇupātrāṇi kṣudrakṣiprāśca śaṅkhakāḥ | [RCūM, 3 12.2]
kṣuraprāśca tathā pālyo yaccānyattatra yujyate | [RCūM, 3 13.1]
pālikā karṇikā caiva śākacchedanaśastrikā | [RCūM, 3 13.2]
śālāsammārjanārthaṃ hi rasapākāntakarma yat | [RCūM, 3 14.1]
tatropayogi yaccānyattatsarvaṃ paravidyayā | [RCūM, 3 14.2]
śrīrasāṅkuśayā sarvaṃ mantrayitvā samāharet | [RCūM, 3 15.1]
anyathā tadgataṃ tejaḥ parigṛhṇāti bhairavaḥ | [RCūM, 3 15.2]
cālinī trividhā proktā tatsvarūpaṃ ca kathyate | [RCūM, 3 16.1]
vaiṇavībhiḥ śalākābhinirmitā grathitā guṇaiḥ | [RCūM, 3 16.2]
kīrtitā sā sadā sthūladravyāṇāṃ gālane hitā | [RCūM, 3 17.1]
cūrṇacālanahetośca cālanyanyāpi vaṃśajā | [RCūM, 3 17.2]
karṇikārasya śālmalyāḥ pārijātasya kambayā | [RCūM, 3 18.1]
caturaṅgulavistārayuktyā nirmitā śubhā | [RCūM, 3 18.2]
kuṇḍalyaratnivistārā chāgacarmābhaveṣṭitā | [RCūM, 3 19.1]
vājivālāmbarānaddhatalā cālanikā parā | [RCūM, 3 19.2]
tayā pracālanaṃ kuryāddhartuṃ sūkṣmataraṃ rajaḥ | [RCūM, 3 20.1]
śikhitrāḥ pāvakocchiṣṭā aṅgārāḥ kokilāḥ matāḥ | [RCūM, 3 20.2]
kokilāśceti te'ṅgārāḥ nirvāṇāḥ payasā vinā | [RCūM, 3 21.1]
piṣṭakaṃ chagaṇaṃ chāṇamupalaṃ cotpalaṃ tathā | [RCūM, 3 21.2]
karaṇḍopalasārī ca saṃśuṣkachagaṇābhidhāḥ | [RCūM, 3 22.1]
kūpikā champikā siddhā golā caiva karaṇḍikā | [RCūM, 3 22.2]
caṣakā ca kaṭorī ca vāṭikā ghoṭikā tathā | [RCūM, 3 23.1]
kacolī grāhikā ceti nāmānyekārthakāni hi | [RCūM, 3 23.2]
rasasaṃhitayor vaidyāḥ nighaṇṭujñāśca vārttikāḥ | [RCūM, 3 24.1]
sarvadeśajabhāṣājñāḥ saṃgrāhyāste'pi sādhakaiḥ | [RCūM, 3 24.2]
dharmiṣṭhaḥ satyavāg vidvān śivakeśavapūjakaḥ | [RCūM, 3 25.1]
sadayaḥ padmahastaśca saṃyojyo rasavaidyake | [RCūM, 3 25.2]
patākākumbhapāthojamatsyacāpāṅkapāṇikaḥ | [RCūM, 3 26.1]
anāmādhaḥ stharesvāṅkaḥ sa syādamṛtahastavān | [RCūM, 3 26.2]
adeśikaḥ kṛpāmukto lubdho yuktivivarjitaḥ | [RCūM, 3 27.1]
kṛṣṇarekhākaro vaidyo dagdhahasto vivarjitaḥ | [RCūM, 3 27.2]
rasapākāvasāne hi sadāghoraṃ ca jāpayet | [RCūM, 3 28.1]
sodyamāḥ śucayaḥ śūrāḥ baliṣṭhāḥ paricārakāḥ | [RCūM, 3 28.2]
bhūtavigrahamantrajñāste yojyā nidhisādhane | [RCūM, 3 29.1]
baliṣṭhāḥ sattvavantaśca raktākṣāḥ kṛṣṇavigrahāḥ | [RCūM, 3 29.2]
bhūtatrāsanavidyāśca te yojyāḥ balisādhane | [RCūM, 3 30.1]
nirlobhāḥ satyavaktāro devabrāhmaṇapūjakāḥ | [RCūM, 3 30.2]
yaminaḥ pathyabhoktāro yojanīyā rasāyane | [RCūM, 3 31.1]
dhanavanto vadānyāśca sarvopaskarasaṃyutāḥ | [RCūM, 3 31.2]
guruvākyaratā nityaṃ dhātuvādeṣu te śubhāḥ | [RCūM, 3 32.1]
tattadauṣadhanāmajñāḥ śucayo vañcanojjhitāḥ | [RCūM, 3 32.2]
nānāviṣayabhāṣājñāste matā bheṣajāhṛtau | [RCūM, 3 33.1]
śucīnāṃ satyavākyānāmāstikānāṃ manasvinām | [RCūM, 3 33.2]
sandehojjhitacittānāṃ rasaḥ sidhyati nānyathā | [RCūM, 3 34.1]
daśāṣṭakriyayā siddhe rase 'sau sādhakottamaḥ | [RCūM, 3 34.2]
mahāraso 'yam ityuktvā sevetānyatra taṃ rasaṃ | [RCūM, 3 35.1]
rasasiddho bhavenmartyo dātā bhoktā na yācakaḥ | [RCūM, 3 35.2]
jarāmukto jagatpūjyo divyakāntiḥ sadā sukhī | [RCūM, 3 35.3]
{RCūM, 4}
kathyate somadevena mugdhavaidyaprabuddhaye | [RCūM, 4 1.1]
paribhāṣā rasendrasya śāstraiḥ siddhaiśca bhāṣitā | [RCūM, 4 1.2]
ardhaṃ siddharasasya tailaghṛtayorlehasya bhāgo'ṣṭamaḥ saṃsiddhākhilalohacūrṇavaṭakādīnāṃ tathā saptamaḥ | [RCūM, 4 2.1]
yo dīyeta bhiṣagvarāya gadibhirnirdiśya dhanvantariṃ sarvārogyasukhāptaye nigadito bhāgaḥ sa dhānvantaraḥ | [RCūM, 4 2.2]
bhaiṣajyakrīṇitadravyabhāgaścaikādaśo hi yaḥ | [RCūM, 4 3.1]
vaṇigbhyo gṛhyate vaidyai rudrabhāgaḥ sa ucyate | [RCūM, 4 3.2]
pragṛhyādhikarudrāṃśaṃ yo'samīcīnamauṣadham | [RCūM, 4 4.1]
dāpayellubdhadhīrvaidyaḥ sa syādviśvāsaghātakaḥ | [RCūM, 4 4.2]
śāstreṣu vihitā śuddhirbrahmahatyākṛtāmapi | [RCūM, 4 5.1]
viśvāsaghātināṃ puṃsāṃ na śuddhirmaraṇaṃ vinā | [RCūM, 4 5.2]
