{VSM, 1}
iṣe tvā | [VSM, 1 1.1]
ūrje tvā | [VSM, 1 1.2]
vāyava stha | [VSM, 1 1.3]
devo vaḥ savitā prārpayatu śreṣṭhatamāya karmaṇa āpyāyadhvam aghnyā indrāya bhāgaṃ prajāvatīr anamīvā ayakṣmā mā va stena īśata māghaśaṃso dhruvā asmin gopatau syāta bahvīḥ | [VSM, 1 1.4]
yajamānasya paśūn pāhi | [VSM, 1 1.5]
vasoḥ pavitram asi | [VSM, 1 2.1]
dyaur asi pṛthivy asi | [VSM, 1 2.2]
mātariśvano gharmo 'si viśvadhā asi parameṇa dhāmnā dṛṃhasva mā hvār mā te yajñapatir hvārṣīt | [VSM, 1 2.3]
vasoḥ pavitram asi śatadhāraṃ vasoḥ pavitram asi sahasradhāram | [VSM, 1 3.1]
devas tvā savitā punātu vasoḥ pavitreṇa śatadhāreṇa supvā | [VSM, 1 3.2]
kām adhukṣaḥ | [VSM, 1 3.3]
sā viśvāyuḥ | [VSM, 1 4.1]
sā viśvakarmā | [VSM, 1 4.2]
sā viśvadhāyāḥ | [VSM, 1 4.3]
indrasya tvā bhāgaṃ somenātanacmi | [VSM, 1 4.4]
viṣṇo havyaṃ rakṣa | [VSM, 1 4.5]
agne vratapate vrataṃ cariṣyāmi tac chakeyaṃ tan me rādhyatām | [VSM, 1 5.1]
idam aham anṛtāt satyam upaimi | [VSM, 1 5.2]
kas tvā yunakti sa tvā yunakti kasmai tvā yunakti tasmai tvā yunakti | [VSM, 1 6.1]
karmaṇe vāṃ veṣāya vām | [VSM, 1 6.2]
pratyuṣṭaṃ rakṣaḥ pratyuṣṭā arātayaḥ | [VSM, 1 7.1]
niṣṭaptaṃ rakṣo niṣṭaptā arātayaḥ | [VSM, 1 7.2]
urv antarikṣam anvemi | [VSM, 1 7.3]
dhūr asi dhūrva dhūrvantaṃ dhūrva taṃ yo 'smān dhūrvati taṃ dhūrva yaṃ vayaṃ dhūrvāmaḥ | [VSM, 1 8.1]
devānām asi vahnitamaṃ sasnitamaṃ papritamaṃ juṣṭatamaṃ devahūtamam | [VSM, 1 8.2]
ahrutam asi havirdhānaṃ dṛṃhasva mā hvār mā yajñapatir hvārṣīt | [VSM, 1 9.1]
viṣṇus tvā kramatām | [VSM, 1 9.2]
uru vātāya | [VSM, 1 9.3]
apahataṃ rakṣaḥ | [VSM, 1 9.4]
yacchantāṃ pañca | [VSM, 1 9.5]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 1 10.1]
agnaye juṣṭaṃ gṛhṇāmi | [VSM, 1 10.2]
agnīṣomābhyāṃ juṣṭaṃ gṛhṇāmi | [VSM, 1 10.3]
bhūtāya tvā nārātaye | [VSM, 1 11.1]
svar abhivikhyeṣam | [VSM, 1 11.2]
dṛṃhantāṃ duryāḥ pṛthivyām | [VSM, 1 11.3]
urv antarikṣam anvemi | [VSM, 1 11.4]
pṛthivyās tvā nābhau sādayāmy adityā upasthe 'gne havyaṃ rakṣa | [VSM, 1 11.5]
pavitre stho vaiṣṇavyau | [VSM, 1 12.1]
savitur vaḥ prasava utpunāmy acchidrena pavitreṇa sūryasya raśmibhiḥ | [VSM, 1 12.2]
devīr āpo agreguvo agrepuvo 'gra imam adya yajñaṃ nayatāgre yajñapatiṃ sudhātuṃ yajñapatiṃ devayuvam | [VSM, 1 12.3]
yuṣmā indro 'vṛṇīta vṛtratūrye yūyam indram avṛṇīdhvaṃ vṛtratūrye | [VSM, 1 13.1]
prokṣitā stha | [VSM, 1 13.2]
agnaye tvā juṣṭaṃ prokṣāmi | [VSM, 1 13.3]
agnīṣomābhyāṃ tvā juṣṭaṃ prokṣāmi | [VSM, 1 13.4]
daivyāya karmaṇe śundhadhvaṃ devayajyāyai yad vo 'śuddhāḥ parājaghnur idaṃ vas tacchundhāmi | [VSM, 1 13.5]
śarmāsi | [VSM, 1 14.1]
avadhūtaṃ rakṣo 'vadhūtā arātayaḥ | [VSM, 1 14.2]
adityās tvag asi prati tvāditir vettu | [VSM, 1 14.3]
adrir asi vānaspatyaḥ | [VSM, 1 14.4]
grāvāsi pṛthubudhnaḥ prati tvādityās tvag vettu | [VSM, 1 14.5]
agnes tanūr asi vāco visarjanaṃ devavītaye tvā gṛhṇāmi | [VSM, 1 15.1]
bṛhadgrāvāsi vānaspatyaḥ | [VSM, 1 15.2]
sa idaṃ devebhyo haviḥ śamīṣva suśami śamīṣva | [VSM, 1 15.3]
haviṣkṛd ehi haviṣkṛd ehi haviṣkṛd ehi | [VSM, 1 15.4]
kukkuṭo 'si madhujihva iṣam ūrjam āvada tvayā vayaṃ saṃghātaṃ saṃghātaṃ jeṣma | [VSM, 1 16.1]
varṣavṛddham asi | [VSM, 1 16.2]
prati tvā varṣavṛddhaṃ vettu | [VSM, 1 16.3]
parāpūtaṃ rakṣaḥ parāpūtā arātayaḥ | [VSM, 1 16.4]
apahataṃ rakṣaḥ | [VSM, 1 16.5]
vāyur vo vivinaktu | [VSM, 1 16.6]
devo vaḥ savitā hiraṇyapāṇiḥ pratigṛbhṇātv acchidreṇa pāṇinā | [VSM, 1 16.7]
dhṛṣṭir asi | [VSM, 1 17.1]
apāgne agnim āmādaṃ jahi niṣ kravyādaṃ sedha | [VSM, 1 17.2]
ā devayajaṃ vaha | [VSM, 1 17.3]
dhruvam asi pṛthivīṃ dṛṃha brahmavani tvā kṣatravani sajātavany upadadhāmi bhrātṛvyasya vadhāya | [VSM, 1 17.4]
agne brahma gṛbhṇīṣva | [VSM, 1 18.1]
dharuṇam asy antarikṣaṃ dṛṃha brahmavani tvā kṣatravani sajātavany upadadhāmi bhrātṛvyasya vadhāya | [VSM, 1 18.2]
dhartram asi divaṃ dṛṃha brahmavani tvā kṣatravani sajātavany upadadhāmi bhrātṛvyasya vadhāya | [VSM, 1 18.3]
viśvābhyas tvāśābhya upadadhāmi | [VSM, 1 18.4]
cita sthordhvacitaḥ | [VSM, 1 18.5]
bhṛgūṇām aṅgirasāṃ tapasā tapyadhvam | [VSM, 1 18.6]
śarmāsi | [VSM, 1 19.1]
avadhūtaṃ rakṣo 'vadhūtā arātayaḥ | [VSM, 1 19.2]
adityās tvag asi prati tvāditir vettu | [VSM, 1 19.3]
dhiṣaṇāsi parvatī prati tvādityās tvag vettu | [VSM, 1 19.4]
diva skambhanīr asi | [VSM, 1 19.5]
dhiṣaṇāsi pārvateyī prati tvā parvatī vettu | [VSM, 1 19.6]
dhānyam asi dhinuhi devān | [VSM, 1 20.1]
prāṇāya tvā | [VSM, 1 20.2]
udānāya tvā | [VSM, 1 20.3]
vyānāya tvā | [VSM, 1 20.4]
dīrghām anu prasitim āyuṣe dhāṃ devo vaḥ savitā hiraṇyapāṇiḥ pratigṛbhṇātv acchidreṇa pāṇinā | [VSM, 1 20.5]
cakṣuṣe tvā | [VSM, 1 20.6]
mahīnāṃ payo 'si | [VSM, 1 20.7]
devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyām | [VSM, 1 21.1]
saṃvapāmi | [VSM, 1 21.2]
sam āpa oṣadhībhiḥ sam oṣadhayo rasena | [VSM, 1 21.3]
saṃ revatīr jagatībhiḥ pṛcyantāṃ saṃ madhumatīr madhumatībhiḥ pṛcyantām | [VSM, 1 21.4]
janayatyai tvā saṃyaumi | [VSM, 1 22.1]
idam agneḥ | [VSM, 1 22.2]
